0 3,04159265358979
4,13878475244424 0,802471328479451
4,15425662095787 0,841252532283067
4,17011324643409 0,879918370100539
4,18637855336235 0,918416718813042
4,20307366075249 0,956678447674287
4,22021497649862 0,994613884973458
4,23781178202317 1,03210935497321
4,2558634065405 1,06902444468472
4,27435628505277 1,10519099466189
4,29326144464158 1,14041504478397
4,31253318245488 1,17448286798091
4,33210972997679 1,20717154884952
4,35191638922228 1,23826328314234
4,37187097231709 1,26756109478059
4,39189061745546 1,29490275223149
4,41189857839222 1,320169942163
4,43182964983824 1,34329117932833
4,45163343015855 1,36423876580543
4,47127531881764 1,38302149542873
4,4907356820233 1,39967529766051
4,51000785659711 1,41425374110928
4,52909563894467 1,42681966015336
4,54801074272404 1,4374384908168
4,56677051502217 1,44617339905577
4,58539603955476 1,45308199677677
4,6039106468871 1,45821432584089
4,62233879141239 1,46161178351463
4,64070522923325 1,46330670955897
4,65903442646233 1,46332241949818
4,67735013339403 1,461673531352
4,69567506981066 1,45836648632151
4,71403067662605 1,45340020605868
4,73243689736996 1,44676686170227
4,75091195912972 1,43845275530234
4,76947212666649 1,42843933495607
4,78813140614936 1,41670438260862
4,80690117731188 1,40322342858839
4,82578973622697 1,38797145858056
4,84480173714563 1,3709249839427
4,86393753318141 1,3520645396571
4,88319243440986 1,33137764791483
4,9025559299497 1,3088622298676
4,92201095753458 1,28453035529709
4,94153334561446 1,25841208868047
4,9610915886702 1,23055903445918
4,98064712931912 1,20104704111537
5,00015529154063 1,16997745247483
5,01956692532615 1,13747636165451
5,03883069040357 1,10369156736731
5,05789575714489 1,06878732860725
5,07671458640522 1,03293745945319
5,09524541302324 0,996317654076554
5,1134541172693 0,959098061175121
5,13131530275414 0,921437001973638
5,14881255942936 0,883476410979422
5,16593802604243 0,845339195853681
5,18269144716174 0,807128379246182
5,19907894105477 0,768927669937228
5,21511167061941 0,730803024856428
5,23080456154653 0,692804779794744
5,24617515872603 0,65497000258764
5,26124266559793 0,61732481990669
5,27602717686603 0,579886561598762
5,29054909309628 0,542665641643202
5,30482869407279 0,505667148658358
5,31888584345876 0,468892153362908
5,33273979759046 0,432338759667261
5,34640909401001 0,39600293464202
5,3599114991725 0,359879154351183
5,37326399875588 0,323960900364473
5,38648281767893 0,28824103768005
5,39958346008069 0,252712100062763
5,41258076208278 0,21736650416598
5,42548895217812 0,182196709630534
5,43832171563862 0,147195338792202
5,45109226049499 0,112355266700266
5,46381338349343 0,0776696898079057
5,47649753504707 0,0431321798652948
5,48915688263193 0,00873672814658654
5,50180337237276 -0,0255222159043601
5,51444878875859 -0,0596497082842823
5,52710481254551 -0,0936502734989606
5,53978307696368 -0,127527864629717
5,55249522235768 -0,161285818117963
5,56525294936119 -0,194926801032645
5,57806807063941 -0,228452748509511
5,59095256112452 -0,261864788862139
5,60391860651321 -0,295163153564879
5,6169786495806 -0,328347068895318
5,63014543357544 -0,361414625493834
5,64343204157544 -0,394362621444894
5,65685193017053 -0,427186373706058
5,67041895516911 -0,459879491810812
5,6841473861431 -0,492433606770449
5,69805190549059 -0,524838047046888
5,71214758624135 -0,55707945245922
5,72644984100911 -0,589141316097305
5,74097433226781 -0,621003444043526
5,75573683151256 -0,652641323430499
5,77075301197107 -0,684025391832009
5,78603815665161 -0,715120206291515
5,80160676124224 -0,745883519954025
5,81747201076604 -0,7762652902146
5,83364511162401 -0,806206666669167
5,85013446912068 -0,835639041694548
5,86694471772795 -0,864483291288133
5,88407564003959 -0,892649385210768
5,9015210517444 -0,920036593352088
5,91926778089437 -0,946534540646907
5,93729491997694 -0,972025338794503
5,9555735600095 -0,99638692153978
5,97406720307356 -1,01949751817036
5,99273297448037 -1,04124093862864
6,01152361897152 -1,06151208028808
6,03039009763938 -1,08022189900087
6,04928445802201 -1,09730110048151
6,06816258313945 -1,11270202330735
6,0869864609063 -1,12639853768733
6,10572573579602 -1,13838415509701
6,12435846165043 -1,14866881863218
6,14287111596079 -1,15727496364725
6,16125802829404 -1,16423341084387
6,17952041114858 -1,16957953096784
6,1976651720266 -1,17334996277353
6,21570365016836 -1,17558002044811
6,23365037781044 -1,17630181712838
6,25152192565582 -1,17554306232957
6,26933586096481 -1,17332645675679
6,28710982537341 -1,16966959778782
6,30486072696872 -1,16458531295534
6,32260403528853 -1,1580823492498
6,34035316687243 -1,15016635763062
6,35811895133573 -1,14084112129224
6,37590917266547 -1,13010998081104
6,39372818679884 -1,11797740803881
6,41157662379411 -1,10445067306992
6,42945119008586 -1,08954153535346
6,44734459212224 -1,07326787294652
6,46524560548154 -1,05565514654216
6,48313931164324 -1,03673758237219
6,50100751663275 -1,01655895641718
6,51882935149445 -0,995172877054958
6,53658203530436 -0,972642497287596
6,55424176031908 -0,949039639453362
6,57178464026574 -0,924443377943122
6,58918765123942 -0,898938187636354
6,6064294933911 -0,872611814866225
6,62349131128365 -0,84555305350246
6,64035722941023 -0,817849606688548
6,65701468278279 -0,789586187241129
6,67345454588764 -0,760842964665875
6,68967108257946 -0,731694414758988
6,70566175221595 -0,702208578832126
6,7214269129748 -0,672446700773583
6,73696946279616 -0,642463184695352
6,75229445354624 -0,612305803693858
6,76740870677218 -0,582016088913994
6,78232045150838 -0,551629834318812
6,79703899720006 -0,521177663018245
6,81157444861269 -0,490685612993988
6,82593746485473 -0,460175711690538
6,840139061322 -0,429666519125769
6,854190451279 -0,39917362743016
6,86810292266415 -0,368710110996827
6,88188774527829 -0,338286925906288
6,89555610356015 -0,307913260285369
6,90911905048476 -0,277596839099248
6,92258747860593 -0,247344187865077
6,93597210480811 -0,217160860172609
6,94928346587546 -0,187051633904988
6,96253192249114 -0,157020680823731
6,9757276697294 -0,127071713824821
6,98888075248929 -0,0972081157624614
7,00200108464305 -0,0674330533219852
7,01509847093714 -0,0377495790339416
7,02818263089618 -0,00816072417436143
7,04126322414562 0,0213304149996138
7,05434987669372 0,0507205954711716
7,06745220780272 0,0800063481221779
7,08057985713617 0,109183898943235
7,09374251189747 0,138249088995222
7,10694993367493 0,167197291359742
7,12021198468015 0,19602332330879
7,1335386530088 0,224721351874619
7,14694007646093 0,253284790911879
7,16042656432814 0,281706187619026
7,17400861637899 0,309977096329441
7,18769693804311 0,338087937202284
7,20150245049783 0,366027837250656
7,21543629398384 0,393784450959184
7,2295098222056 0,421343757594507
7,24373458509095 0,448689832245759
7,25812229648103 0,47580458771661
7,27268478248815 0,502667484725907
7,28743390530451 0,529255208604067
7,30238145619833 0,55554131199692
7,31753901037255 0,581495825276015
7,33291773542516 0,607084839749564
7,34852814458161 0,63227007378615
7,36437978604793 0,657008439053914
7,38048086131275 0,681251633636509
7,39683776874859 0,704945800980567
7,41345457531479 0,728031308103079
7,43033242942377 0,75044271194045
7,44746894263856 0,772108996401495
7,46485758647834 0,792954169976017
7,48248717127985 0,812898308203444
7,5003414926217 0,831859099663057
7,5183992407746 0,849753902792234
7,53663426229461 0,866502243621859
7,55501623400063 0,882028590716908
7,57351175716398 0,896265153499176
7,59208581108349 0,909154391373392
7,61070343591306 0,920650919242881
7,62933146405444 0,930722561538873
7,64794010323813 0,939350431258496
7,66650419761769 0,946528062101136
7,68500404824045 0,952259761622671
7,70342574482204 0,956558449146744
7,72176102886767 0,959443278924709
7,74000676048266 0,960937330352013
7,7581640917599 0,961065589302609
7,77623745918539 0,959853368375175
7,7942335009 0,957325236889331
7,8121599880717 0,953504465598783
7,83002483870873 0,948412941740835
7,84783526121758 0,942071477773405
7,86559705651536 0,934500419584679
7,88331409274489 0,925720453534192
7,90098795569405 0,915753512918479
7,91861777022779 0,904623690693326
7,93620018238871 0,892358074953252
7,95372948730026 0,878987436142262
7,9711978838868 0,864546710177933
7,98859583342171 0,849075239589531
8,00591249520921 0,832616754960182
8,02313620983666 0,815219100298086
8,04025499908334 0,796933726643503
8,05725705231239 0,777814996073555
8,07413117225542 0,75791935123668
8,09086715833554 0,737304412201286
8,10745611246466 0,716028062294598
8,12389065972018 0,69414757837158
8,14016508351888 0,671718850109489
8,15627538105576 0,648795719485374
8,17221924933651 0,625429457621635
8,18799601489556 0,601668383406417
8,20360652134434 0,577557617882515
8,21905298852916 0,55313896091054
8,23433885569345 0,528450872076207
8,24946861904781 0,503528535875926
8,26444767191553 0,478403991319629
8,27928215341752 0,453106307615759
8,29397880967395 0,427661789975942
8,30854486982912 0,402094202325216
8,32298793788592 0,376424996481407
8,33731590035444 0,350673539947064
8,35153684903729 0,324857336712198
8,3656590178404 0,298992237344036
8,37969073225844 0,273092636140842
8,39364037008865 0,247171654281608
8,4075163319325 0,221241308759098
8,42132702011645 0,19531266749277
8,43508082477435 0,16939599143155
8,44878611596459 0,1435008647202
8,46245124083179 0,117636314156222
8,47608452495464 0,0918109192388911
8,48969427714503 0,0660329141335309
8,50328879707264 0,0403102828619292
8,51687638518408 0,0146508489986929
8,53046535446469 -0,0109376388860038
8,54406404365431 -0,0364474248365524
8,55768083157611 -0,0618706650089436
8,57132415226944 -0,0871993479147612
8,58500251063454 -0,112425214287179
8,59872449829685 -0,137539675446559
8,6124988093824 -0,162533729032851
8,6263342558598 -0,187397870948915
8,64023978204824 -0,212122002324196
8,65422447780968 -0,236695330264037
8,6682975898342 -0,261106261099871
8,6824685302844 -0,28534228480506
8,69674688188148 -0,309389849198644
8,71114239828511 -0,333234222536902
8,72566499833268 -0,356859343108283
8,74032475235305 -0,380247654526401
8,75513185834691 -0,403379925594268
8,77009660532567 -0,426235053940607
8,78522932052277 -0,448789853173716
8,80054029654662 -0,47101882415038
8,81603969386051 -0,492893912233822
8,83173741330807 -0,514384254262131
8,84764293285289 -0,535455921540109
8,86376510242713 -0,556071668691931
8,88011189103167 -0,576190702845056
8,89669008134359 -0,595768493465083
8,91350490952439 -0,614756650171331
8,93055965222852 -0,633102903670706
8,94785516954473 -0,650751232687957
8,9653894221617 -0,667642185860013
8,98315699338847 -0,683713449538201
9,0011486608853 -0,698900707008942
9,01935107689969 -0,71313881814057
9,03774662575569 -0,726363317968842
